RUN	pokemonapi.PokemonApiTest	pokemonapitest	1727378194473	 	3.11.3
USER	Pokemon API Test	START	1727378195673
USER	Pokemon API Test	START	1727378195872
USER	Pokemon API Test	START	1727378196075
REQUEST		Get Pikachu	1727378195694	1727378196009	OK	 
USER	Pokemon API Test	END	1727378196095
USER	Pokemon API Test	START	1727378196095
REQUEST		Get Pikachu	1727378195873	1727378196096	OK	 
USER	Pokemon API Test	END	1727378196100
USER	Pokemon API Test	START	1727378196100
USER	Pokemon API Test	START	1727378196279
REQUEST		Get Pikachu	1727378196076	1727378196335	OK	 
USER	Pokemon API Test	END	1727378196340
USER	Pokemon API Test	START	1727378196341
REQUEST		Get Pikachu	1727378196101	1727378196417	OK	 
USER	Pokemon API Test	END	1727378196427
USER	Pokemon API Test	START	1727378196428
REQUEST		Get Pikachu	1727378196096	1727378196475	OK	 
USER	Pokemon API Test	END	1727378196479
USER	Pokemon API Test	START	1727378196480
USER	Pokemon API Test	START	1727378196480
REQUEST		Get Pikachu	1727378196342	1727378196561	OK	 
USER	Pokemon API Test	END	1727378196563
USER	Pokemon API Test	START	1727378196563
REQUEST		Get Pikachu	1727378196279	1727378196590	OK	 
USER	Pokemon API Test	END	1727378196594
USER	Pokemon API Test	START	1727378196595
REQUEST		Get Pikachu	1727378196428	1727378196720	OK	 
USER	Pokemon API Test	END	1727378196723
USER	Pokemon API Test	START	1727378196724
REQUEST		Get Pikachu	1727378196480	1727378196793	OK	 
USER	Pokemon API Test	END	1727378196796
USER	Pokemon API Test	START	1727378196797
REQUEST		Get Pikachu	1727378196595	1727378196807	OK	 
USER	Pokemon API Test	END	1727378196811
USER	Pokemon API Test	START	1727378196812
REQUEST		Get Pikachu	1727378196480	1727378196810	OK	 
USER	Pokemon API Test	END	1727378196815
USER	Pokemon API Test	START	1727378196815
REQUEST		Get Pikachu	1727378196564	1727378196877	OK	 
USER	Pokemon API Test	END	1727378196880
USER	Pokemon API Test	START	1727378196881
REQUEST		Get Pikachu	1727378196725	1727378197014	OK	 
USER	Pokemon API Test	END	1727378197017
USER	Pokemon API Test	START	1727378197017
REQUEST		Get Pikachu	1727378196797	1727378197176	OK	 
USER	Pokemon API Test	END	1727378197180
USER	Pokemon API Test	START	1727378197181
