RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720479371631	 	3.11.3
USER	Pokemon API Test	START	1720479372249
USER	Pokemon API Test	START	1720479372346
USER	Pokemon API Test	START	1720479372447
USER	Pokemon API Test	START	1720479372548
REQUEST		Get Pikachu	1720479372347	1720479372390	OK	 
REQUEST		Get Pikachu	1720479372267	1720479372359	OK	 
REQUEST		Get Pikachu	1720479372447	1720479372534	OK	 
USER	Pokemon API Test	END	1720479372566
USER	Pokemon API Test	END	1720479372566
USER	Pokemon API Test	END	1720479372566
USER	Pokemon API Test	START	1720479372567
USER	Pokemon API Test	START	1720479372567
USER	Pokemon API Test	START	1720479372571
REQUEST		Get Pikachu	1720479372571	1720479372637	OK	 
USER	Pokemon API Test	END	1720479372659
USER	Pokemon API Test	START	1720479372660
REQUEST		Get Pikachu	1720479372574	1720479372640	OK	 
REQUEST		Get Pikachu	1720479372570	1720479372642	OK	 
USER	Pokemon API Test	END	1720479372681
USER	Pokemon API Test	START	1720479372681
USER	Pokemon API Test	END	1720479372683
USER	Pokemon API Test	START	1720479372684
USER	Pokemon API Test	START	1720479372685
REQUEST		Get Pikachu	1720479372548	1720479372669	OK	 
USER	Pokemon API Test	END	1720479372688
USER	Pokemon API Test	START	1720479372689
REQUEST		Get Pikachu	1720479372689	1720479372731	OK	 
USER	Pokemon API Test	END	1720479372735
USER	Pokemon API Test	START	1720479372736
REQUEST		Get Pikachu	1720479372668	1720479372732	OK	 
USER	Pokemon API Test	END	1720479372770
REQUEST		Get Pikachu	1720479372691	1720479372745	OK	 
USER	Pokemon API Test	START	1720479372770
USER	Pokemon API Test	START	1720479372771
USER	Pokemon API Test	END	1720479372772
USER	Pokemon API Test	START	1720479372772
REQUEST		Get Pikachu	1720479372684	1720479372734	OK	 
REQUEST		Get Pikachu	1720479372682	1720479372743	OK	 
USER	Pokemon API Test	END	1720479372778
USER	Pokemon API Test	END	1720479372780
USER	Pokemon API Test	START	1720479372780
USER	Pokemon API Test	START	1720479372781
REQUEST		Get Pikachu	1720479372736	1720479372792	OK	 
REQUEST		Get Pikachu	1720479372781	1720479372818	OK	 
USER	Pokemon API Test	END	1720479372820
USER	Pokemon API Test	START	1720479372821
USER	Pokemon API Test	END	1720479372826
USER	Pokemon API Test	START	1720479372826
USER	Pokemon API Test	START	1720479372850
REQUEST		Get Pikachu	1720479372771	1720479372824	OK	 
USER	Pokemon API Test	END	1720479372852
USER	Pokemon API Test	START	1720479372853
REQUEST		Get Pikachu	1720479372773	1720479372842	OK	 
USER	Pokemon API Test	END	1720479372864
USER	Pokemon API Test	START	1720479372865
REQUEST		Get Pikachu	1720479372771	1720479372836	OK	 
USER	Pokemon API Test	END	1720479372870
REQUEST		Get Pikachu	1720479372782	1720479372850	OK	 
USER	Pokemon API Test	START	1720479372878
USER	Pokemon API Test	END	1720479372878
USER	Pokemon API Test	START	1720479372887
REQUEST		Get Pikachu	1720479372853	1720479372898	OK	 
USER	Pokemon API Test	END	1720479372901
USER	Pokemon API Test	START	1720479372901
REQUEST		Get Pikachu	1720479372821	1720479372877	OK	 
USER	Pokemon API Test	END	1720479372905
REQUEST		Get Pikachu	1720479372827	1720479372879	OK	 
USER	Pokemon API Test	END	1720479372907
USER	Pokemon API Test	START	1720479372908
USER	Pokemon API Test	START	1720479372914
REQUEST		Get Pikachu	1720479372866	1720479372927	OK	 
REQUEST		Get Pikachu	1720479372888	1720479372939	OK	 
USER	Pokemon API Test	END	1720479372949
USER	Pokemon API Test	START	1720479372949
USER	Pokemon API Test	START	1720479372950
REQUEST		Get Pikachu	1720479372909	1720479372950	OK	 
USER	Pokemon API Test	END	1720479372951
USER	Pokemon API Test	START	1720479372952
USER	Pokemon API Test	END	1720479372966
USER	Pokemon API Test	START	1720479372966
REQUEST		Get Pikachu	1720479372902	1720479372961	OK	 
USER	Pokemon API Test	END	1720479372974
REQUEST		Get Pikachu	1720479372878	1720479372953	OK	 
USER	Pokemon API Test	END	1720479372982
USER	Pokemon API Test	START	1720479372982
USER	Pokemon API Test	START	1720479372993
REQUEST		Get Pikachu	1720479372850	1720479372962	OK	 
USER	Pokemon API Test	END	1720479373005
USER	Pokemon API Test	START	1720479373005
REQUEST		Get Pikachu	1720479372952	1720479372998	OK	 
USER	Pokemon API Test	END	1720479373007
USER	Pokemon API Test	START	1720479373007
REQUEST		Get Pikachu	1720479372975	1720479373020	OK	 
USER	Pokemon API Test	END	1720479373030
REQUEST		Get Pikachu	1720479372949	1720479373000	OK	 
USER	Pokemon API Test	END	1720479373044
USER	Pokemon API Test	START	1720479373049
REQUEST		Get Pikachu	1720479372919	1720479373030	OK	 
USER	Pokemon API Test	START	1720479373051
USER	Pokemon API Test	END	1720479373061
REQUEST		Get Pikachu	1720479372983	1720479373049	OK	 
USER	Pokemon API Test	END	1720479373062
USER	Pokemon API Test	START	1720479373062
REQUEST		Get Pikachu	1720479372994	1720479373045	OK	 
USER	Pokemon API Test	START	1720479373063
USER	Pokemon API Test	START	1720479373065
USER	Pokemon API Test	END	1720479373081
USER	Pokemon API Test	START	1720479373113
REQUEST		Get Pikachu	1720479372951	1720479373064	OK	 
REQUEST		Get Pikachu	1720479373008	1720479373076	OK	 
USER	Pokemon API Test	END	1720479373117
USER	Pokemon API Test	END	1720479373117
USER	Pokemon API Test	START	1720479373117
REQUEST		Get Pikachu	1720479373006	1720479373079	OK	 
USER	Pokemon API Test	END	1720479373120
USER	Pokemon API Test	START	1720479373122
USER	Pokemon API Test	START	1720479373133
REQUEST		Get Pikachu	1720479373117	1720479373150	OK	 
USER	Pokemon API Test	END	1720479373152
REQUEST		Get Pikachu	1720479373116	1720479373159	OK	 
REQUEST		Get Pikachu	1720479373066	1720479373132	OK	 
USER	Pokemon API Test	END	1720479373161
USER	Pokemon API Test	END	1720479373162
USER	Pokemon API Test	START	1720479373162
USER	Pokemon API Test	START	1720479373164
REQUEST		Get Pikachu	1720479373063	1720479373138	OK	 
USER	Pokemon API Test	END	1720479373166
USER	Pokemon API Test	START	1720479373167
USER	Pokemon API Test	START	1720479373167
REQUEST		Get Pikachu	1720479373064	1720479373140	OK	 
REQUEST		Get Pikachu	1720479373117	1720479373172	OK	 
USER	Pokemon API Test	END	1720479373183
USER	Pokemon API Test	START	1720479373183
USER	Pokemon API Test	END	1720479373186
USER	Pokemon API Test	START	1720479373187
USER	Pokemon API Test	START	1720479373191
REQUEST		Get Pikachu	1720479373165	1720479373208	OK	 
USER	Pokemon API Test	END	1720479373210
REQUEST		Get Pikachu	1720479373122	1720479373205	OK	 
USER	Pokemon API Test	END	1720479373222
REQUEST		Get Pikachu	1720479373133	1720479373195	OK	 
REQUEST		Get Pikachu	1720479373168	1720479373220	OK	 
USER	Pokemon API Test	END	1720479373228
USER	Pokemon API Test	START	1720479373228
USER	Pokemon API Test	START	1720479373233
USER	Pokemon API Test	START	1720479373233
REQUEST		Get Pikachu	1720479373165	1720479373222	OK	 
USER	Pokemon API Test	END	1720479373240
USER	Pokemon API Test	START	1720479373241
USER	Pokemon API Test	END	1720479373244
REQUEST		Get Pikachu	1720479373060	1720479373204	OK	 
REQUEST		Get Pikachu	1720479373183	1720479373242	OK	 
USER	Pokemon API Test	END	1720479373262
USER	Pokemon API Test	END	1720479373262
USER	Pokemon API Test	START	1720479373262
USER	Pokemon API Test	START	1720479373263
REQUEST		Get Pikachu	1720479373187	1720479373250	OK	 
USER	Pokemon API Test	END	1720479373265
USER	Pokemon API Test	START	1720479373266
REQUEST		Get Pikachu	1720479373191	1720479373285	OK	 
REQUEST		Get Pikachu	1720479373168	1720479373258	OK	 
USER	Pokemon API Test	END	1720479373287
USER	Pokemon API Test	END	1720479373288
USER	Pokemon API Test	START	1720479373288
USER	Pokemon API Test	START	1720479373288
USER	Pokemon API Test	START	1720479373288
REQUEST		Get Pikachu	1720479373229	1720479373294	OK	 
REQUEST		Get Pikachu	1720479373234	1720479373302	OK	 
USER	Pokemon API Test	END	1720479373338
USER	Pokemon API Test	END	1720479373338
USER	Pokemon API Test	START	1720479373338
REQUEST		Get Pikachu	1720479373263	1720479373346	OK	 
USER	Pokemon API Test	END	1720479373348
USER	Pokemon API Test	START	1720479373349
REQUEST		Get Pikachu	1720479373261	1720479373333	OK	 
USER	Pokemon API Test	END	1720479373353
USER	Pokemon API Test	START	1720479373354
USER	Pokemon API Test	START	1720479373355
REQUEST		Get Pikachu	1720479373292	1720479373357	OK	 
USER	Pokemon API Test	END	1720479373359
USER	Pokemon API Test	START	1720479373359
REQUEST		Get Pikachu	1720479373235	1720479373341	OK	 
USER	Pokemon API Test	END	1720479373366
REQUEST		Get Pikachu	1720479373266	1720479373360	OK	 
USER	Pokemon API Test	END	1720479373367
USER	Pokemon API Test	START	1720479373369
REQUEST		Get Pikachu	1720479373263	1720479373353	OK	 
USER	Pokemon API Test	END	1720479373377
USER	Pokemon API Test	START	1720479373377
USER	Pokemon API Test	START	1720479373382
REQUEST		Get Pikachu	1720479373339	1720479373380	OK	 
USER	Pokemon API Test	END	1720479373389
USER	Pokemon API Test	START	1720479373390
REQUEST		Get Pikachu	1720479373360	1720479373394	OK	 
USER	Pokemon API Test	END	1720479373395
USER	Pokemon API Test	START	1720479373396
REQUEST		Get Pikachu	1720479373349	1720479373428	OK	 
REQUEST		Get Pikachu	1720479373356	1720479373412	OK	 
USER	Pokemon API Test	END	1720479373440
USER	Pokemon API Test	START	1720479373441
REQUEST		Get Pikachu	1720479373346	1720479373408	OK	 
REQUEST		Get Pikachu	1720479373289	1720479373410	OK	 
USER	Pokemon API Test	END	1720479373461
USER	Pokemon API Test	END	1720479373461
USER	Pokemon API Test	START	1720479373462
REQUEST		Get Pikachu	1720479373396	1720479373463	OK	 
REQUEST		Get Pikachu	1720479373393	1720479373456	OK	 
USER	Pokemon API Test	END	1720479373470
USER	Pokemon API Test	END	1720479373470
USER	Pokemon API Test	END	1720479373470
REQUEST		Get Pikachu	1720479373383	1720479373465	OK	 
USER	Pokemon API Test	END	1720479373474
USER	Pokemon API Test	START	1720479373475
USER	Pokemon API Test	START	1720479373475
REQUEST		Get Pikachu	1720479373378	1720479373470	OK	 
REQUEST		Get Pikachu	1720479373354	1720479373458	OK	 
USER	Pokemon API Test	END	1720479373483
USER	Pokemon API Test	START	1720479373484
USER	Pokemon API Test	START	1720479373485
USER	Pokemon API Test	END	1720479373486
USER	Pokemon API Test	START	1720479373486
USER	Pokemon API Test	START	1720479373486
